target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
Q,69.00,169.00,113.76,152.97,Q,47.54,44.76,-16.03,1
E,322.00,169.00,280.80,167.30,E,41.23,-41.20,-1.70,1
T,576.00,169.00,623.93,136.00,T,58.19,47.93,-33.00,1
U,829.00,169.00,853.65,143.47,U,35.48,24.65,-25.53,1
P,1209.00,169.00,1272.00,135.00,P,71.59,63.00,-34.00,1
A,176.00,237.00,241.69,213.88,S,69.64,65.69,-23.12,0
D,408.00,237.00,462.55,220.74,D,56.92,54.55,-16.26,1
G,639.00,237.00,726.98,182.26,Y,103.62,87.98,-54.74,0
J,871.00,237.00,965.73,135.00,I,139.20,94.73,-102.00,0
L,1102.00,237.00,1229.43,135.00,P,163.22,127.43,-102.00,0
Z,292.00,305.00,344.29,268.30,S,63.89,52.29,-36.70,0
C,524.00,305.00,624.66,314.88,V,101.15,100.66,9.88,0
B,755.00,305.00,878.41,276.82,N,126.59,123.41,-28.18,0
M,987.00,305.00,1133.51,140.54,O,220.26,146.51,-164.46,0
Space,641.00,373.00,704.74,369.56,Space,63.83,63.74,-3.44,1
