mapper_type,target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
pca4_baseline,Q,69.00,169.00,118.30,160.79,Q,49.98,49.30,-8.21,1
pca4_baseline,E,322.00,169.00,335.21,166.92,E,13.37,13.21,-2.08,1
pca4_baseline,T,576.00,169.00,652.68,139.12,Y,82.29,76.68,-29.88,0
pca4_baseline,U,829.00,169.00,847.08,141.22,U,33.15,18.08,-27.78,1
pca4_baseline,P,1209.00,169.00,1246.33,135.00,P,50.50,37.33,-34.00,1
pca4_baseline,A,176.00,237.00,238.90,255.62,S,65.60,62.90,18.62,0
pca4_baseline,D,408.00,237.00,492.58,242.49,F,84.76,84.58,5.49,0
pca4_baseline,G,639.00,237.00,730.70,188.18,Y,103.89,91.70,-48.82,0
pca4_baseline,J,871.00,237.00,914.13,135.00,I,110.74,43.13,-102.00,0
pca4_baseline,L,1102.00,237.00,1123.80,135.00,O,104.30,21.80,-102.00,0
pca4_baseline,Z,292.00,305.00,355.08,277.14,X,68.96,63.08,-27.86,0
pca4_baseline,C,524.00,305.00,630.48,300.51,V,106.58,106.48,-4.49,0
pca4_baseline,B,755.00,305.00,854.99,280.49,N,102.95,99.99,-24.51,0
pca4_baseline,M,987.00,305.00,1054.35,170.39,O,150.52,67.35,-134.61,0
pca4_baseline,Space,641.00,373.00,705.70,360.19,Space,65.96,64.70,-12.81,1
pca4_decoupled_split,Q,69.00,169.00,118.30,152.97,Q,51.84,49.30,-16.03,1
pca4_decoupled_split,E,322.00,169.00,335.21,145.99,E,26.53,13.21,-23.01,1
pca4_decoupled_split,T,576.00,169.00,652.68,149.38,Y,79.15,76.68,-19.62,0
pca4_decoupled_split,U,829.00,169.00,847.08,140.55,U,33.71,18.08,-28.45,1
pca4_decoupled_split,P,1209.00,169.00,1246.33,135.00,P,50.50,37.33,-34.00,1
pca4_decoupled_split,A,176.00,237.00,238.90,235.99,S,62.91,62.90,-1.01,0
pca4_decoupled_split,D,408.00,237.00,492.58,221.15,F,86.05,84.58,-15.85,0
pca4_decoupled_split,G,639.00,237.00,730.70,182.35,Y,106.75,91.70,-54.65,0
pca4_decoupled_split,J,871.00,237.00,914.13,135.00,I,110.74,43.13,-102.00,0
pca4_decoupled_split,L,1102.00,237.00,1123.80,135.00,O,104.30,21.80,-102.00,0
pca4_decoupled_split,Z,292.00,305.00,355.08,249.45,D,84.05,63.08,-55.55,0
pca4_decoupled_split,C,524.00,305.00,630.48,305.80,V,106.49,106.48,0.80,0
pca4_decoupled_split,B,755.00,305.00,854.99,278.64,N,103.40,99.99,-26.36,0
pca4_decoupled_split,M,987.00,305.00,1054.35,141.05,O,177.24,67.35,-163.95,0
pca4_decoupled_split,Space,641.00,373.00,705.70,369.14,Space,64.82,64.70,-3.86,1
poly12_ridge,Q,69.00,169.00,152.94,165.32,W,84.03,83.94,-3.68,0
poly12_ridge,E,322.00,169.00,319.94,213.73,S,44.78,-2.06,44.73,0
poly12_ridge,T,576.00,169.00,640.44,137.54,Y,71.71,64.44,-31.46,0
poly12_ridge,U,829.00,169.00,858.65,135.00,U,45.11,29.65,-34.00,1
poly12_ridge,P,1209.00,169.00,1272.00,135.00,P,71.59,63.00,-34.00,1
poly12_ridge,A,176.00,237.00,271.08,232.33,S,95.20,95.08,-4.67,0
poly12_ridge,D,408.00,237.00,482.81,223.92,F,75.94,74.81,-13.08,0
poly12_ridge,G,639.00,237.00,726.39,192.78,Y,97.94,87.39,-44.22,0
poly12_ridge,J,871.00,237.00,945.45,135.00,I,126.28,74.45,-102.00,0
poly12_ridge,L,1102.00,237.00,1190.54,135.00,P,135.06,88.54,-102.00,0
poly12_ridge,Z,292.00,305.00,370.57,290.31,X,79.93,78.57,-14.69,0
poly12_ridge,C,524.00,305.00,623.68,322.23,V,101.16,99.68,17.23,0
poly12_ridge,B,755.00,305.00,851.28,276.46,N,100.42,96.28,-28.54,0
poly12_ridge,M,987.00,305.00,1080.26,180.66,O,155.43,93.26,-124.34,0
poly12_ridge,Space,641.00,373.00,692.04,341.69,Space,59.88,51.04,-31.31,1
poly12_ridge_split_decoupled_y,Q,69.00,169.00,113.76,152.97,Q,47.54,44.76,-16.03,1
poly12_ridge_split_decoupled_y,E,322.00,169.00,280.80,167.30,E,41.23,-41.20,-1.70,1
poly12_ridge_split_decoupled_y,T,576.00,169.00,623.93,136.00,T,58.19,47.93,-33.00,1
poly12_ridge_split_decoupled_y,U,829.00,169.00,853.65,143.47,U,35.48,24.65,-25.53,1
poly12_ridge_split_decoupled_y,P,1209.00,169.00,1272.00,135.00,P,71.59,63.00,-34.00,1
poly12_ridge_split_decoupled_y,A,176.00,237.00,241.69,213.88,S,69.64,65.69,-23.12,0
poly12_ridge_split_decoupled_y,D,408.00,237.00,462.55,220.74,D,56.92,54.55,-16.26,1
poly12_ridge_split_decoupled_y,G,639.00,237.00,726.98,182.26,Y,103.62,87.98,-54.74,0
poly12_ridge_split_decoupled_y,J,871.00,237.00,965.73,135.00,I,139.20,94.73,-102.00,0
poly12_ridge_split_decoupled_y,L,1102.00,237.00,1229.43,135.00,P,163.22,127.43,-102.00,0
poly12_ridge_split_decoupled_y,Z,292.00,305.00,344.29,268.30,S,63.89,52.29,-36.70,0
poly12_ridge_split_decoupled_y,C,524.00,305.00,624.66,314.88,V,101.15,100.66,9.88,0
poly12_ridge_split_decoupled_y,B,755.00,305.00,878.41,276.82,N,126.59,123.41,-28.18,0
poly12_ridge_split_decoupled_y,M,987.00,305.00,1133.51,140.54,O,220.26,146.51,-164.46,0
poly12_ridge_split_decoupled_y,Space,641.00,373.00,704.74,369.56,Space,63.83,63.74,-3.44,1
