target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
Q,69.00,169.00,91.73,135.00,Q,40.90,22.73,-34.00,1
E,322.00,169.00,347.43,164.07,E,25.91,25.43,-4.93,1
T,576.00,169.00,687.87,181.51,Y,112.56,111.87,12.51,0
U,829.00,169.00,884.75,135.00,U,65.30,55.75,-34.00,1
P,1209.00,169.00,1200.26,173.38,P,9.77,-8.74,4.38,1
A,176.00,237.00,257.26,219.46,S,83.13,81.26,-17.54,0
D,408.00,237.00,550.33,263.18,F,144.71,142.33,26.18,0
G,639.00,237.00,777.91,203.97,H,142.78,138.91,-33.03,0
J,871.00,237.00,917.63,135.33,I,111.85,46.63,-101.67,0
L,1102.00,237.00,1214.22,172.33,P,129.52,112.22,-64.67,0
Z,292.00,305.00,429.80,241.30,D,151.81,137.80,-63.70,0
C,524.00,305.00,655.88,240.30,G,146.89,131.88,-64.70,0
B,755.00,305.00,925.71,228.65,J,187.01,170.71,-76.35,0
M,987.00,305.00,1149.84,156.53,P,220.37,162.84,-148.47,0
Space,641.00,373.00,794.67,321.84,B,161.96,153.67,-51.16,0
