mapper_type,target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
pca4_baseline,Q,69.00,169.00,91.73,140.55,Q,36.42,22.73,-28.45,1
pca4_baseline,E,322.00,169.00,347.43,181.64,E,28.40,25.43,12.64,1
pca4_baseline,T,576.00,169.00,687.87,175.55,Y,112.06,111.87,6.55,0
pca4_baseline,U,829.00,169.00,884.75,135.00,U,65.30,55.75,-34.00,1
pca4_baseline,P,1209.00,169.00,1200.26,169.00,P,8.74,-8.74,-0.00,1
pca4_baseline,A,176.00,237.00,257.26,254.28,S,83.07,81.26,17.28,0
pca4_baseline,D,408.00,237.00,550.33,274.47,C,147.18,142.33,37.47,0
pca4_baseline,G,639.00,237.00,777.91,199.85,U,143.79,138.91,-37.15,0
pca4_baseline,J,871.00,237.00,917.63,135.16,I,112.01,46.63,-101.84,0
pca4_baseline,L,1102.00,237.00,1214.22,170.80,P,130.29,112.22,-66.20,0
pca4_baseline,Z,292.00,305.00,429.80,267.88,D,142.71,137.80,-37.12,0
pca4_baseline,C,524.00,305.00,655.88,255.47,G,140.87,131.88,-49.53,0
pca4_baseline,B,755.00,305.00,925.71,222.74,J,189.50,170.71,-82.26,0
pca4_baseline,M,987.00,305.00,1149.84,157.52,P,219.70,162.84,-147.48,0
pca4_baseline,Space,641.00,373.00,794.67,328.33,B,160.03,153.67,-44.67,0
pca4_decoupled_split,Q,69.00,169.00,91.73,135.00,Q,40.90,22.73,-34.00,1
pca4_decoupled_split,E,322.00,169.00,347.43,164.07,E,25.91,25.43,-4.93,1
pca4_decoupled_split,T,576.00,169.00,687.87,181.51,Y,112.56,111.87,12.51,0
pca4_decoupled_split,U,829.00,169.00,884.75,135.00,U,65.30,55.75,-34.00,1
pca4_decoupled_split,P,1209.00,169.00,1200.26,173.38,P,9.77,-8.74,4.38,1
pca4_decoupled_split,A,176.00,237.00,257.26,219.46,S,83.13,81.26,-17.54,0
pca4_decoupled_split,D,408.00,237.00,550.33,263.18,F,144.71,142.33,26.18,0
pca4_decoupled_split,G,639.00,237.00,777.91,203.97,H,142.78,138.91,-33.03,0
pca4_decoupled_split,J,871.00,237.00,917.63,135.33,I,111.85,46.63,-101.67,0
pca4_decoupled_split,L,1102.00,237.00,1214.22,172.33,P,129.52,112.22,-64.67,0
