mapper_type,target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
pca4_decoupled_split,Z,292.00,305.00,429.80,241.30,D,151.81,137.80,-63.70,0
pca4_decoupled_split,C,524.00,305.00,655.88,240.30,G,146.89,131.88,-64.70,0
pca4_decoupled_split,B,755.00,305.00,925.71,228.65,J,187.01,170.71,-76.35,0
pca4_decoupled_split,M,987.00,305.00,1149.84,156.53,P,220.37,162.84,-148.47,0
pca4_decoupled_split,Space,641.00,373.00,794.67,321.84,B,161.96,153.67,-51.16,0
poly12_ridge,Q,69.00,169.00,151.90,153.87,W,84.27,82.90,-15.13,0
poly12_ridge,E,322.00,169.00,322.47,205.12,S,36.12,0.47,36.12,0
poly12_ridge,T,576.00,169.00,671.70,170.25,Y,95.70,95.70,1.25,0
poly12_ridge,U,829.00,169.00,916.34,135.00,I,93.72,87.34,-34.00,0
poly12_ridge,P,1209.00,169.00,1194.08,162.64,P,16.22,-14.92,-6.36,1
poly12_ridge,A,176.00,237.00,274.72,235.76,S,98.73,98.72,-1.24,0
poly12_ridge,D,408.00,237.00,512.34,243.88,F,104.57,104.34,6.88,0
poly12_ridge,G,639.00,237.00,766.05,206.41,H,130.69,127.05,-30.59,0
poly12_ridge,J,871.00,237.00,980.02,135.00,I,149.30,109.02,-102.00,0
poly12_ridge,L,1102.00,237.00,1225.35,169.47,P,140.63,123.35,-67.53,0
poly12_ridge,Z,292.00,305.00,425.01,246.63,D,145.25,133.01,-58.37,0
poly12_ridge,C,524.00,305.00,648.89,285.96,V,126.33,124.89,-19.04,0
poly12_ridge,B,755.00,305.00,931.01,225.54,K,193.11,176.01,-79.46,0
poly12_ridge,M,987.00,305.00,1229.85,152.19,P,286.92,242.85,-152.81,0
poly12_ridge,Space,641.00,373.00,793.96,322.05,B,161.22,152.96,-50.95,0
poly12_ridge_split_decoupled_y,Q,69.00,169.00,151.90,142.16,W,87.14,82.90,-26.84,0
poly12_ridge_split_decoupled_y,E,322.00,169.00,322.47,183.94,E,14.95,0.47,14.94,1
poly12_ridge_split_decoupled_y,T,576.00,169.00,671.70,184.72,Y,96.98,95.70,15.72,0
poly12_ridge_split_decoupled_y,U,829.00,169.00,916.34,135.00,I,93.72,87.34,-34.00,0
poly12_ridge_split_decoupled_y,P,1209.00,169.00,1194.08,179.02,P,17.97,-14.92,10.02,1
poly12_ridge_split_decoupled_y,A,176.00,237.00,274.72,212.37,S,101.75,98.72,-24.63,0
poly12_ridge_split_decoupled_y,D,408.00,237.00,512.34,230.54,F,104.54,104.34,-6.46,0
poly12_ridge_split_decoupled_y,G,639.00,237.00,766.05,245.51,H,127.34,127.05,8.51,0
poly12_ridge_split_decoupled_y,J,871.00,237.00,980.02,135.00,I,149.30,109.02,-102.00,0
poly12_ridge_split_decoupled_y,L,1102.00,237.00,1225.35,176.35,P,137.46,123.35,-60.65,0
poly12_ridge_split_decoupled_y,Z,292.00,305.00,425.01,219.42,D,158.16,133.01,-85.58,0
poly12_ridge_split_decoupled_y,C,524.00,305.00,648.89,279.41,V,127.48,124.89,-25.59,0
poly12_ridge_split_decoupled_y,B,755.00,305.00,931.01,229.44,K,191.54,176.01,-75.56,0
poly12_ridge_split_decoupled_y,M,987.00,305.00,1229.85,161.40,P,282.13,242.85,-143.60,0
poly12_ridge_split_decoupled_y,Space,641.00,373.00,793.96,312.34,B,164.55,152.96,-60.66,0
