calibration_version,session_id,sample_index,target_id,target_key_id,target_label,target_screen_x,target_screen_y,timestamp_ms,face_detected,blink,left_eye_h,left_eye_v,right_eye_h,right_eye_v,avg_h,avg_v,eye_box_w,eye_box_h,face_x,face_y,head_stability,confidence,fixation_state,accepted,rejection_reason,quality_score,window_std_h,window_std_v,velocity,stable_duration_ms,pca_uL,pca_vL,pca_uR,pca_vR
6,a28b3f78577e,0,T01,r00c01:w,row0_left,196.0,169.0,1780562599176,True,False,0.5706394359437921,0.09166304568203265,0.6760647479221473,0.12179448732607723,0.6233520919329697,0.10672876650405494,0.05182036757469177,0.024435371160507202,0.4484451413154602,0.6065770089626312,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.0706394359437921,-0.40833695431796735,0.17606474792214735,-0.3782055126739228
6,a28b3f78577e,1,T01,r00c01:w,row0_left,196.0,169.0,1780562599209,True,False,0.5707502148800816,0.09174381002436849,0.6760660937844527,0.1232944356200168,0.6234081543322672,0.10751912282219264,0.05182263255119324,0.024416357278823853,0.44844500720500946,0.6066218912601471,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.07075021488008165,-0.4082561899756315,0.17606609378445273,-0.3767055643799832
6,a28b3f78577e,2,T01,r00c01:w,row0_left,196.0,169.0,1780562599243,True,False,0.5706279534335095,0.09521955152294354,0.6760898198560529,0.12545326492262598,0.6233588866447812,0.11033640822278476,0.05183860659599304,0.02448311448097229,0.4484403431415558,0.6066885888576508,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.07062795343350953,-0.40478044847705646,0.17608981985605288,-0.374546735077374
6,a28b3f78577e,3,T01,r00c01:w,row0_left,196.0,169.0,1780562599276,True,False,0.5706837601833192,0.09781478955029216,0.6761226008362735,0.1270971628666684,0.6234031805097964,0.11245597620848027,0.051841363310813904,0.024524331092834473,0.4484383761882782,0.6067455112934113,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.07068376018331918,-0.40218521044970784,0.17612260083627349,-0.3729028371333316
6,a28b3f78577e,4,T01,r00c01:w,row0_left,196.0,169.0,1780562599311,True,False,0.5707230026461084,0.09714496576752057,0.6765329583738148,0.1267994672866697,0.6236279805099616,0.11197221652709513,0.05186387896537781,0.02452254295349121,0.44844192266464233,0.606751948595047,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.07072300264610838,-0.4028550342324794,0.17653295837381475,-0.3732005327133303
6,a28b3f78577e,5,T01,r00c01:w,row0_left,196.0,169.0,1780562599344,True,False,0.570382506716522,0.09723399640842845,0.6767623759065409,0.12696116513594413,0.6235724413115314,0.11209758077218629,0.05184552073478699,0.02450960874557495,0.4484565258026123,0.6067539155483246,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.07038250671652198,-0.40276600359157155,0.1767623759065409,-0.37303883486405587
6,a28b3f78577e,6,T01,r00c01:w,row0_left,196.0,169.0,1780562599378,True,False,0.5701055542791224,0.09754815058930738,0.676619877221241,0.1272464030721719,0.6233627157501817,0.11239727683073963,0.05184286832809448,0.024508655071258545,0.448451966047287,0.6067550182342529,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.07010555427912236,-0.4024518494106926,0.17661987722124095,-0.3727535969278281
6,a28b3f78577e,7,T01,r00c01:w,row0_left,196.0,169.0,1780562599412,True,False,0.5698302723749235,0.09839470732897687,0.6763004763389552,0.12755511945096487,0.6230653743569393,0.11297491338997087,0.05183744430541992,0.024500221014022827,0.4484472870826721,0.6067569851875305,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.06983027237492342,-0.40160529267102313,0.1763004763389552,-0.37244488054903513
6,a28b3f78577e,8,T01,r00c01:w,row0_left,196.0,169.0,1780562599446,True,False,0.5694240488164062,0.09902723739989877,0.6762661783215442,0.1288364139124597,0.6228451135689752,0.11393182565617924,0.05184274911880493,0.02448868751525879,0.44845110177993774,0.6067557334899902,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.06942404881640613,-0.40097276260010123,0.17626617832154418,-0.3711635860875403
6,a28b3f78577e,9,T01,r00c01:w,row0_left,196.0,169.0,1780562599480,True,False,0.5693843239351927,0.09868943232884747,0.6764441921513864,0.1286663791362339,0.6229142580432896,0.11367790573254069,0.05185157060623169,0.02447947859764099,0.4484591484069824,0.6067377626895905,,1.0,WAIT_LOCK,False,locking:time,,,,,,0.06938432393519266,-0.40131056767115253,0.17644419215138643,-0.3713336208637661
