session_id,target_id,label,screen_x,screen_y,n_samples,mean_avg_h,mean_avg_v
a28b3f78577e,T01,row0_left,196.0,169.0,36,0.6246016431364229,0.09206397196508435
a28b3f78577e,T02,row0_center,576.0,169.0,36,0.535641619895236,0.06327359900637988
a28b3f78577e,T03,row0_right,1083.0,169.0,35,0.46434633314252444,0.04538363864907947
a28b3f78577e,T04,row1_left,292.0,237.0,36,0.6179254373102743,0.12200176456304639
a28b3f78577e,T05,row1_center,639.0,237.0,36,0.5198862197215471,0.060093754401567466
a28b3f78577e,T06,row1_right,987.0,237.0,36,0.4815386943450142,0.061457832365796466
a28b3f78577e,T07,row2_left,292.0,305.0,36,0.5981790578008656,0.1451939138313293
a28b3f78577e,T08,row2_center,639.0,305.0,36,0.5287803819072375,0.07519157883938025
a28b3f78577e,T09,row2_right,987.0,305.0,36,0.4878212241549241,0.08164502173878062
a28b3f78577e,T10,gap_0_1,640.0,203.0,35,0.5257334018617272,0.05890405783699192
a28b3f78577e,T11,gap_1_2,640.0,271.0,36,0.524568941114099,0.06497799686571827
a28b3f78577e,T12,row0_x28,449.0,169.0,36,0.5694438736763616,0.06526381180671444
a28b3f78577e,T13,row0_x72,829.0,169.0,36,0.505254876702333,0.042930515417715726
a28b3f78577e,T14,row2_x28,524.0,305.0,36,0.5455724640202635,0.11167686300445287
a28b3f78577e,T15,row2_x72,755.0,305.0,36,0.5170222485467647,0.07685323077960915
