target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
Q,69.00,169.00,94.10,135.00,Q,42.26,25.10,-34.00,1
E,322.00,169.00,253.98,161.29,W,68.46,-68.02,-7.71,0
T,576.00,169.00,623.66,144.88,T,53.42,47.66,-24.12,1
U,829.00,169.00,857.67,135.00,U,44.47,28.67,-34.00,1
P,1209.00,169.00,1272.00,186.77,P,65.46,63.00,17.77,1
A,176.00,237.00,199.98,208.60,A,37.17,23.98,-28.40,1
D,408.00,237.00,380.35,264.19,D,38.78,-27.65,27.19,1
G,639.00,237.00,679.23,200.05,Y,54.62,40.23,-36.95,0
J,871.00,237.00,877.40,200.54,U,37.01,6.40,-36.46,0
L,1102.00,237.00,1167.43,231.94,L,65.63,65.43,-5.06,1
Z,292.00,305.00,297.84,317.80,Z,14.06,5.84,12.80,1
C,524.00,305.00,583.18,345.78,Space,71.87,59.18,40.78,0
B,755.00,305.00,828.21,277.34,N,78.26,73.21,-27.66,0
M,987.00,305.00,1001.13,270.82,K,36.98,14.13,-34.18,0
Space,641.00,373.00,710.52,386.31,Space,70.78,69.52,13.31,1
