mapper_type,target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
pca4_baseline,Q,69.00,169.00,93.41,135.00,Q,41.86,24.41,-34.00,1
pca4_baseline,E,322.00,169.00,316.73,169.36,E,5.29,-5.27,0.36,1
pca4_baseline,T,576.00,169.00,687.33,135.00,Y,116.41,111.33,-34.00,0
pca4_baseline,U,829.00,169.00,847.16,135.00,U,38.54,18.16,-34.00,1
pca4_baseline,P,1209.00,169.00,1196.67,220.13,P,52.59,-12.33,51.13,1
pca4_baseline,A,176.00,237.00,192.42,189.47,W,50.29,16.42,-47.53,0
pca4_baseline,D,408.00,237.00,417.23,254.16,D,19.49,9.23,17.16,1
pca4_baseline,G,639.00,237.00,707.23,185.17,Y,85.68,68.23,-51.83,0
pca4_baseline,J,871.00,237.00,851.48,198.08,U,43.54,-19.52,-38.92,0
pca4_baseline,L,1102.00,237.00,1092.07,242.25,L,11.23,-9.93,5.25,1
pca4_baseline,Z,292.00,305.00,283.26,299.12,Z,10.54,-8.74,-5.88,1
pca4_baseline,C,524.00,305.00,586.45,358.21,Space,82.05,62.45,53.21,0
pca4_baseline,B,755.00,305.00,818.32,289.05,N,65.30,63.32,-15.95,0
pca4_baseline,M,987.00,305.00,963.40,285.14,M,30.84,-23.60,-19.86,1
pca4_baseline,Space,641.00,373.00,682.74,399.64,Space,49.52,41.74,26.64,1
pca4_decoupled_split,Q,69.00,169.00,93.41,135.00,Q,41.86,24.41,-34.00,1
pca4_decoupled_split,E,322.00,169.00,316.73,155.62,E,14.38,-5.27,-13.38,1
pca4_decoupled_split,T,576.00,169.00,687.33,135.00,Y,116.41,111.33,-34.00,0
pca4_decoupled_split,U,829.00,169.00,847.16,135.00,U,38.54,18.16,-34.00,1
pca4_decoupled_split,P,1209.00,169.00,1196.67,200.53,P,33.86,-12.33,31.53,1
pca4_decoupled_split,A,176.00,237.00,192.42,169.22,W,69.74,16.42,-67.78,0
pca4_decoupled_split,D,408.00,237.00,417.23,252.06,D,17.66,9.23,15.06,1
pca4_decoupled_split,G,639.00,237.00,707.23,153.10,Y,108.14,68.23,-83.90,0
pca4_decoupled_split,J,871.00,237.00,851.48,174.70,U,65.29,-19.52,-62.30,0
pca4_decoupled_split,L,1102.00,237.00,1092.07,214.75,L,24.36,-9.93,-22.25,1
pca4_decoupled_split,Z,292.00,305.00,283.26,288.49,Z,18.68,-8.74,-16.51,1
pca4_decoupled_split,C,524.00,305.00,586.45,358.51,Space,82.24,62.45,53.51,0
pca4_decoupled_split,B,755.00,305.00,818.32,272.75,N,71.06,63.32,-32.25,0
pca4_decoupled_split,M,987.00,305.00,963.40,278.51,M,35.48,-23.60,-26.49,1
pca4_decoupled_split,Space,641.00,373.00,682.74,389.86,Space,45.02,41.74,16.86,1
poly12_ridge,Q,69.00,169.00,94.10,135.00,Q,42.26,25.10,-34.00,1
poly12_ridge,E,322.00,169.00,253.98,161.29,W,68.46,-68.02,-7.71,0
poly12_ridge,T,576.00,169.00,623.66,144.88,T,53.42,47.66,-24.12,1
poly12_ridge,U,829.00,169.00,857.67,135.00,U,44.47,28.67,-34.00,1
poly12_ridge,P,1209.00,169.00,1272.00,186.77,P,65.46,63.00,17.77,1
poly12_ridge,A,176.00,237.00,199.98,208.60,A,37.17,23.98,-28.40,1
poly12_ridge,D,408.00,237.00,380.35,264.19,D,38.78,-27.65,27.19,1
poly12_ridge,G,639.00,237.00,679.23,200.05,Y,54.62,40.23,-36.95,0
poly12_ridge,J,871.00,237.00,877.40,200.54,U,37.01,6.40,-36.46,0
poly12_ridge,L,1102.00,237.00,1167.43,231.94,L,65.63,65.43,-5.06,1
poly12_ridge,Z,292.00,305.00,297.84,317.80,Z,14.06,5.84,12.80,1
poly12_ridge,C,524.00,305.00,583.18,345.78,Space,71.87,59.18,40.78,0
poly12_ridge,B,755.00,305.00,828.21,277.34,N,78.26,73.21,-27.66,0
poly12_ridge,M,987.00,305.00,1001.13,270.82,K,36.98,14.13,-34.18,0
poly12_ridge,Space,641.00,373.00,710.52,386.31,Space,70.78,69.52,13.31,1
poly12_ridge_split,Q,69.00,169.00,94.10,135.00,Q,42.26,25.10,-34.00,1
poly12_ridge_split,E,322.00,169.00,253.98,161.29,W,68.46,-68.02,-7.71,0
poly12_ridge_split,T,576.00,169.00,623.66,144.88,T,53.42,47.66,-24.12,1
poly12_ridge_split,U,829.00,169.00,857.67,135.00,U,44.47,28.67,-34.00,1
poly12_ridge_split,P,1209.00,169.00,1272.00,186.77,P,65.46,63.00,17.77,1
poly12_ridge_split,A,176.00,237.00,199.98,208.60,A,37.17,23.98,-28.40,1
poly12_ridge_split,D,408.00,237.00,380.35,264.19,D,38.78,-27.65,27.19,1
poly12_ridge_split,G,639.00,237.00,679.23,200.05,Y,54.62,40.23,-36.95,0
poly12_ridge_split,J,871.00,237.00,877.40,200.54,U,37.01,6.40,-36.46,0
poly12_ridge_split,L,1102.00,237.00,1167.43,231.94,L,65.63,65.43,-5.06,1
poly12_ridge_split,Z,292.00,305.00,297.84,317.80,Z,14.06,5.84,12.80,1
poly12_ridge_split,C,524.00,305.00,583.18,345.78,Space,71.87,59.18,40.78,0
poly12_ridge_split,B,755.00,305.00,828.21,277.34,N,78.26,73.21,-27.66,0
poly12_ridge_split,M,987.00,305.00,1001.13,270.82,K,36.98,14.13,-34.18,0
poly12_ridge_split,Space,641.00,373.00,710.52,386.31,Space,70.78,69.52,13.31,1
