target_key,target_center_x,target_center_y,predicted_x,predicted_y,predicted_key,error_px,dx,dy,is_correct
Q,69.00,169.00,91.11,137.75,Q,38.28,22.11,-31.25,1
E,322.00,169.00,253.04,140.83,W,74.49,-68.96,-28.17,0
T,576.00,169.00,618.97,167.53,T,42.99,42.97,-1.47,1
U,829.00,169.00,843.10,135.00,U,36.81,14.10,-34.00,1
P,1209.00,169.00,1272.00,287.78,⌫,134.46,63.00,118.78,0
A,176.00,237.00,169.92,195.15,W,42.28,-6.08,-41.85,0
D,408.00,237.00,383.48,231.20,D,25.20,-24.52,-5.80,1
G,639.00,237.00,698.10,185.33,Y,78.50,59.10,-51.67,0
J,871.00,237.00,886.39,153.63,U,84.77,15.39,-83.37,0
L,1102.00,237.00,1270.75,211.11,P,170.73,168.75,-25.89,0
Z,292.00,305.00,260.80,242.12,S,70.20,-31.20,-62.88,0
C,524.00,305.00,541.30,236.66,F,70.50,17.30,-68.34,0
B,755.00,305.00,877.62,196.39,U,163.81,122.62,-108.61,0
M,987.00,305.00,1119.69,275.05,⌫,136.03,132.69,-29.95,0
Space,641.00,373.00,758.53,276.09,B,152.33,117.53,-96.91,0
